Season,Title,Date,Rating,Votes,Description
1,S1.E0 ∙ Most Chicks Won't Eat Veal: Original Pilot,"Fri, Jun 2, 2006",8.1, (1.3K,"After his wife kicks him out of the house, Alan must move in with his brother Charlie."
1,S1.E1 ∙ Pilot,"Mon, Sep 22, 2003",8.1, (2.6K,"After 12 years of marriage, Alan's wife Judith, kicks him out and he turns to his older brother Charlie for help. Charlie has trouble altering his carefree lifestyle to accommodate the presence of his 10-year-old nephew Jake."
1,S1.E2 ∙ Big Flappy Bastards,"Mon, Sep 29, 2003",7.7, (2.2K,"Alan punishes Jake for an incident at Judith's house. Charlie is lax in enforcing Alan's restrictions, and when some seagulls invade Charlie's house as a result of Jake's actions, Charlie must learn how to discipline his nephew."
1,S1.E3 ∙ Go East on Sunset Until You Reach the Gates of Hell,"Mon, Oct 6, 2003",7.7, (2K,"Charlie and Alan go out drinking. Alan tries to reconcile with his wife. After that fails, they decide to confront the root of their issues, their mother."
1,"S1.E4 ∙ If I Can't Write My Chocolate Song, I'm Going to Take a Nap","Mon, Oct 13, 2003",7.9, (1.9K,"As Charlie tries to write a new jingle, Berta quits, and Alan, leaving Charlie to get Jake ready for a dinner, tries to convince her to come back; Rose tries to get Charlie's help to prepare for a date."
1,S1.E5 ∙ The Last Thing You Want Is to Wind Up with a Hump,"Mon, Oct 20, 2003",7.8, (1.9K,Jake's soccer games lead to Alan and Charlie having encounters with teammates' sexy mothers.
1,S1.E6 ∙ Did You Check with the Captain of the Flying Monkeys?,"Mon, Oct 27, 2003",7.5, (1.8K,Charlie and Evelyn date members of the same family.
1,"S1.E7 ∙ If They Do Go Either Way, They're Usually Fake","Mon, Nov 3, 2003",8.3, (1.9K,"Jake sees a butterfly tattoo on the firm bottom of a surfer-chick friend of Charlie's and draws a picture of it for school. Of course, this enrages Judith until she becomes very good friends with the woman herself."
1,S1.E8 ∙ Twenty-five Little Pre-pubers Without a Snoot-ful,"Mon, Nov 10, 2003",7.8, (1.8K,"After being tricked into helping Alan and Judith produce Jake's class musical, Charlie is flattered to find out that the kids know all the words to his jingles. Alan is blindsided with divorce papers from Judith, causing strife which results in Charlie, who refuses to deal with the pre-pubers without a snootful, having to produce the play on his own. Jake is crushed when he realizes that a reconciliation between his parents might never happen."
1,"S1.E9 ∙ Phase One, Complete","Mon, Nov 17, 2003",7.5, (1.7K,Charlie wants to dump a female friend to whom Jake has grown attached. Alan and Rose bond over a game of Scrabble.
1,S1.E10 ∙ Merry Thanksgiving,"Mon, Nov 24, 2003",8.0, (1.9K,"Thanksgiving winds up being the least thankful day of the year for Charlie, who has to bribe various members of his household to even come to a traditional turkey dinner. Not only are the usual feuds in evidence (leading to a turkey-carving right out of ""Psycho"") but Judith's parents are actually sympathetic to Alan and hostile to their own daughter for her ""fling"" with lesbianism."
1,"S1.E11 ∙ Alan Harper, Frontier Chiropractor","Mon, Dec 15, 2003",7.6, (1.7K,"Seeing Judith's new look and boyfriend prompts Alan to realize that if he wants to get back into the dating scene, he will need to change his look also."
1,S1.E12 ∙ Camel Filters and Pheromones,"Mon, Jan 5, 2004",8.6, (2.6K,"Berta brings her 16-year-old granddaughter to work, which poses issues for the men."
1,S1.E13 ∙ Sarah Like Puny Alan,"Mon, Jan 12, 2004",7.6, (1.7K,Charlie tries to nurse Alan back from the flu because he needs him for a double date with sisters.
1,S1.E14 ∙ I Can't Afford Hyenas,"Mon, Feb 2, 2004",7.7, (1.7K,Charlie's accountant Stan tries to make Charlie understand his desperate financial situation.
