Title,Date,Rating,Thumbs_up,Thumbs_down,Description
Charlie Yes Ashton No,"Jan 5, 2022",8,99,3,"The show had a soul when Charlie Sheen was in it, and 8 i have given is because of that.

The episodes when Ashton, internet billionaire mambo-jumbo, came in deserve a pure 5. Mayve even a 4."
First 8 seasons are classic while the left are sucked,"Dec 20, 2013",8,338,20,"I'm giving 8 stars to the S1-S8. They are so funny to watch even repeatedly. To be honest, without Charlie,I never finish watching even one episode of S9 and I would not watch it any more. This show now is dead to me. I'd rather watch the former 8 seasons again and again. I like Charlie, Rose, little Jake, Berta and Evelyn in the show. At first I think this show is just for fun. But as I watch more, I realize that there are a lot of other things that I like which can make people stop to think. Charlie seems to be womanizing and nonchalant to his mother and brother at first. Yet I see a loving Charlie when Evelyn is vulnerable, when he comes into Jake's room to find the sulking Jake who is hiding in his room just because Charlie threatens Alan to move out. Rose loves Charlie so much and she is a good girl. So funny to see her head popping out from the deck. .... This show, S1-S8, is one of the best sitcoms in my eyes."
Charlie Sheen and a man and a half ;),"Nov 21, 2021",7,84,4,"It was only two and a half men until season eight, after that it was just a simple show, a pity ... The role of Ashton Kutcher was good, but this sudden turn of the story and the events that caused it, I could not follow with the same mentality as before, this show belonged to Charlie Sheen, is and will be."
There's absolutely no reason to watch this show anymore,"Apr 11, 2012",N/A,499,46,"Two and a half men doesn't deserve to go on,now that they've fired Charlie sheen and hired Asthon Kutcher as his replacement.This show is nothing without Charlie Sheen he was the main reason to watch this show.I have to admit this show started losing its's potential once Jake started getting older. It seems like every episode had the same plot Charlie sleeping with random women he doesn't care about and Alan whining about his social life,don't get me wrong this show was funny during the time Charlie Sheen was on the show.Ever since Ashton Kutcher came on this show its gotten very vulgar it seems like the writers have an obsession with farting,masturbation,sex,and bathroom jokes.Bottom line this show needs to be canceled."
"The show with Charlie Sheen gets a 10, the show with Ashton Kutcher gets a 1","Nov 16, 2022",10,45,3,"The chemistry between Charlie (Sheen), Jon Cryer (Alan) and the young Angus T. Jones (Jake) is magical. Especially when Jake was the age of the elementary school he was fabulous. What a talented young boy! Also all the girlfriends of Charlie and Alan were hilarious.

They feel like a real family. And it looks like they are really having fun with each other. Holland Taylor (Evelyn) and Conchata Ferrell (Berta) also did a great job. Then Ashton Kutcher came in. He spoiled everything with his awful bad acting. The chemistry between everybody vanished immediately. It looked like the cast did not enjoy it anymore. So we stopped seeing the show. Tried though."
"For me, it's over...","Jan 3, 2013",6,125,8,"Forget about watching the new episodes, with Walden Schmidt. Not only, the actor is not very talented, not funny nor the character is interesting, but also has the huge job of filling Sheen's shoes. Let's be honest, the show is nothing without Charlie Sheen. OK, Jake and Alan are also great characters. But the thing about this show was the issues between the two brothers and their trouble raising a kid. It makes no sense to change the main character. They should have cancelled it. No doubt the Charlie-Alan-Jake seasons are fantastic. But that is it. Forget that someone even tried to make episodes without one of those three. It's better to remember it as good show, as it was."
Classic!,"Jan 26, 2023",8,72,7,"Two and a Half Men is one of guilty pleasures. While not the best sitcom ever, it's still good. The show dropped down in quality a little bit when Charlie Sheen left and Ashton Kutcher took over. Charlie Sheen and John Cryer just had such great chemistry that it was going to drop a little in quality regardless who took over. The Sheen years were better than Kutchers but it's still decent with Kutcher. I would've like to see more with Sheen but unfortunately he lost his mind and had to be fired. The supporting actors are all pretty funny in this too. There are too many to name but they all do a good job. There's a reason that reruns are always on and that's because it's such a popular show."
Should end with Charlie,"Dec 28, 2019",6,36,1,"This show would get a higher rating if it ended with Charlies death, but they had to drag it on with Kutcher. He doesn't have the weight and celebrity status of Charlie Sheen to carry on the show"
Great Sitcom,"Apr 27, 2023",8,66,7,I have to say Two and Half Men has really grown on me over the years. It's always on so it's hard to miss but I've come to like it a lot. Like most people have already pointed out it was obviously a lot better with Charlie Sheen but I don't think it was as terrible with Ashton Kutcher as some people say. It was still watchable as long as you try to look at it as its own show and not compare the two. It's just too bad that Sheen went nuts because they could've probably got a few more good seasons with him and Cryer. This is one of those shows you can have on in the background as you're doing other stuff around the house because you've seen all the episodes several times.
Two and a Half Men died when Charlie Harper did.,"Oct 30, 2013",7,61,9,"Two and a Half Men was my all-time favorite TV show. I watched every episode when it aired from the series premiere up until Charlie's exit. Now, I see it time to time, and I couldn't be more disappointed with Chuck Lorre and his crew. Nothing against Ashton Kutcher, he's trying his best to be funny, but he and Jon Cryer don't have the amazing chemistry that Sheen and Cryer did. To pile on, Jake (Angus T. Jones) has now left the show, replaced by Charlie's 25-year old lesbian daughter, Jenny (Amber Tamblyn).

I'll admit that I do still watch the show occasionally, not because I enjoy it, but more out of curiosity to see how bad it can really get. In my opinion, if the writers had done it right (assuming that firing Sheen was right, which it absolutely was not), after Charlie's death, they should have bumped Cryer up to lead actor, with Jones beside him, and added a young boy to the cast, carrying the title Two and a Half Men. Now it's Two Men, a Lesbian and a Housekeeper.

The plot is getting more and more far-fetched and unbelievable. That, and the jokes are nothing new. Alan, get out of my Malibu beach house. Bring home a woman and sleep with her. Blah blah blah, what used to be funny is not funny the hundredth time. With or without Charlie Sheen, this show is years past its prime, and needs to be done. Eleven seasons is a good run. Jon Cryer is great, and deserves better than this. Charlie, you were the heart of this show. And it died when Charlie Harper died."
